,ticker,industry,market_cap
0,MMM,Industrials,74399006720.0
1,AOS,Industrials,12838734848.0
2,ABT,Health Care,197722243072.0
3,ABBV,Health Care,347651047424.0
4,ACN,Information Technology,223037538304.0
5,ADBE,Information Technology,222657560576.0
6,AMD,Information Technology,258600730624.0
7,AES,Utilities,14140278784.0
8,AFL,Financials,63971770368.0
9,A,Health Care,42105044992.0
10,APD,Materials,64471060480.0
11,ABNB,Consumer Discretionary,79799132160.0
12,AKAM,Information Technology,15270790144.0
13,ALB,Materials,11056329728.0
14,ARE,Real Estate,20333398016.0
15,ALGN,Health Care,17782392832.0
16,ALLE,Industrials,12706760704.0
17,LNT,Utilities,15541335040.0
18,ALL,Financials,50225876992.0
19,GOOGL,Communication Services,2049830682624.0
20,GOOG,Communication Services,2049831993344.0
21,MO,Consumer Staples,86317670400.0
22,AMZN,Consumer Discretionary,1939166986240.0
23,AMCR,Materials,16231168000.0
24,AMTM,Industrials,6148014080.0
25,AEE,Utilities,23319805952.0
26,AEP,Utilities,54175137792.0
27,AXP,Financials,192600293376.0
28,AIG,Financials,46654246912.0
29,AMT,Real Estate,108306972672.0
30,AWK,Utilities,28469487616.0
31,AMP,Financials,47163961344.0
32,AME,Industrials,38944354304.0
33,AMGN,Health Care,171800215552.0
34,APH,Information Technology,74834583552.0
35,ADI,Information Technology,113066344448.0
36,ANSS,Information Technology,27740876800.0
37,AON,Financials,75756634112.0
38,APA,Energy,9528753152.0
39,AAPL,Information Technology,3447985799168.0
40,AMAT,Information Technology,165828853760.0
41,APTV,Consumer Discretionary,16458948608.0
42,ACGL,Financials,42772832256.0
43,ADM,Consumer Staples,28109969408.0
44,ANET,Information Technology,122400284672.0
45,AJG,Financials,62642880512.0
46,AIZ,Financials,10341050368.0
47,T,Communication Services,159107629056.0
48,ATO,Utilities,21596012544.0
49,ADSK,Information Technology,58224066560.0
50,ADP,Industrials,115639050240.0
51,AZO,Consumer Discretionary,52190134272.0
52,AVB,Real Estate,31728611328.0
53,AVY,Materials,17433997312.0
54,AXON,Industrials,30570561536.0
55,BKR,Energy,37235634176.0
56,BALL,Materials,20184035328.0
57,BAC,Financials,304408330240.0
58,BAX,Health Care,18351101952.0
59,BDX,Health Care,69300707328.0
60,BRK.B,Financials,
61,BBY,Consumer Discretionary,21410228224.0
62,TECH,Health Care,12283960320.0
63,BIIB,Health Care,27492247552.0
64,BLK,Financials,141795524608.0
65,BX,Financials,185909313536.0
66,BK,Financials,52358119424.0
67,BA,Industrials,94214332416.0
68,BKNG,Consumer Discretionary,138288480256.0
69,BWA,Consumer Discretionary,8067577344.0
70,BSX,Health Care,124422504448.0
71,BMY,Health Care,108993019904.0
72,AVGO,Information Technology,797081206784.0
73,BR,Industrials,24984383488.0
74,BRO,Financials,29963814912.0
75,BF.B,Consumer Staples,
76,BLDR,Industrials,22734149632.0
77,BG,Consumer Staples,13733064704.0
78,BXP,Real Estate,14190389248.0
79,CHRW,Industrials,12713477120.0
80,CDNS,Information Technology,73112682496.0
81,CZR,Consumer Discretionary,9291717632.0
82,CPT,Real Estate,13043593216.0
83,CPB,Consumer Staples,14267353088.0
84,COF,Financials,55949541376.0
85,CAH,Health Care,26666631168.0
86,KMX,Consumer Discretionary,11685917696.0
87,CCL,Consumer Discretionary,23764162560.0
88,CARR,Industrials,72707645440.0
89,CTLT,Health Care,10969498624.0
90,CAT,Industrials,191074041856.0
91,CBOE,Financials,22166714368.0
92,CBRE,Real Estate,38300811264.0
93,CDW,Information Technology,29299896320.0
94,CE,Materials,14736435200.0
95,COR,Health Care,43443212288.0
96,CNC,Health Care,38200299520.0
97,CNP,Utilities,19584217088.0
98,CF,Materials,15903318016.0
99,CRL,Health Care,9959561216.0
100,SCHW,Financials,115888685056.0
101,CHTR,Communication Services,46996041728.0
102,CVX,Energy,273936498688.0
103,CMG,Consumer Discretionary,78991605760.0
104,CB,Financials,117678088192.0
105,CHD,Consumer Staples,25279598592.0
106,CI,Health Care,95245131776.0
107,CINF,Financials,21358008320.0
108,CTAS,Industrials,82788868096.0
109,CSCO,Information Technology,209992204288.0
110,C,Financials,118340837376.0
111,CFG,Financials,17954414592.0
112,CLX,Consumer Staples,20400070656.0
113,CME,Financials,80506888192.0
114,CMS,Utilities,21284440064.0
115,KO,Consumer Staples,306043879424.0
116,CTSH,Information Technology,38159622144.0
117,CL,Consumer Staples,83391897600.0
118,CMCSA,Communication Services,159934251008.0
119,CAG,Consumer Staples,14409823232.0
120,COP,Energy,128155557888.0
121,ED,Utilities,36155052032.0
122,STZ,Consumer Staples,46594322432.0
123,CEG,Utilities,82981404672.0
124,COO,Health Care,21469018112.0
125,CPRT,Industrials,50717061120.0
126,GLW,Information Technology,38429532160.0
127,CPAY,Financials,21985959936.0
128,CTVA,Materials,40593362944.0
129,CSGP,Real Estate,30781353984.0
130,COST,Consumer Staples,389299503104.0
131,CTRA,Energy,18097426432.0
132,CRWD,Information Technology,68694106112.0
133,CCI,Real Estate,50314166272.0
134,CSX,Industrials,66246742016.0
135,CMI,Industrials,44547448832.0
136,CVS,Health Care,78296678400.0
137,DHR,Health Care,197821366272.0
138,DRI,Consumer Discretionary,19117250560.0
139,DVA,Health Care,13349328896.0
140,DAY,Industrials,9764255744.0
141,DECK,Consumer Discretionary,24037318656.0
142,DE,Industrials,113951662080.0
143,DELL,Information Technology,79648473088.0
144,DAL,Industrials,31238281216.0
145,DVN,Energy,26868105216.0
146,DXCM,Health Care,26888781824.0
147,FANG,Energy,53071196160.0
148,DLR,Real Estate,53285974016.0
149,DFS,Financials,34477207552.0
150,DG,Consumer Staples,17982449664.0
151,DLTR,Consumer Staples,14939793408.0
152,D,Utilities,48960421888.0
153,DPZ,Consumer Discretionary,14800658432.0
154,DOV,Industrials,26154133504.0
155,DOW,Materials,38326362112.0
156,DHI,Consumer Discretionary,62091882496.0
157,DTE,Utilities,26643472384.0
158,DUK,Utilities,90100531200.0
159,DD,Materials,36760436736.0
160,EMN,Materials,12872129536.0
161,ETN,Industrials,130572812288.0
162,EBAY,Consumer Discretionary,31882799104.0
163,ECL,Materials,72264114176.0
164,EIX,Utilities,33782765568.0
165,EW,Health Care,39246360576.0
166,EA,Communication Services,37833437184.0
167,ELV,Health Care,117139529728.0
168,EMR,Industrials,63188840448.0
169,ENPH,Information Technology,14660786176.0
170,ETR,Utilities,28381788160.0
171,EOG,Energy,72968437760.0
172,EPAM,Information Technology,11159337984.0
173,EQT,Energy,21842446336.0
174,EFX,Industrials,36295479296.0
175,EQIX,Real Estate,84178231296.0
176,EQR,Real Estate,28864487424.0
177,ERIE,Financials,28311320576.0
178,ESS,Real Estate,19480332288.0
179,EL,Consumer Staples,34863558656.0
180,EG,Financials,17153614848.0
181,EVRG,Utilities,14089526272.0
182,ES,Utilities,23830431744.0
183,EXC,Utilities,40970473472.0
184,EXPE,Consumer Discretionary,19235248128.0
185,EXPD,Industrials,17738379264.0
186,EXR,Real Estate,39088074752.0
187,XOM,Energy,539892678656.0
188,FFIV,Information Technology,12801585152.0
189,FDS,Financials,17384660992.0
190,FICO,Information Technology,47520776192.0
